Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OS),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Report block number/type in apple news warnings about scheduled blocks,AR-5105,656958,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,21/Dec/18 10:46 AM,01/Feb/19 3:09 PM,03/May/19 9:49 AM,04/Jan/19 2:11 PM,,2019.1.29 - Content,,Content Tool,,,,0,,,,,,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,29/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|i000rn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_01_Apollo,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"04/Jan/19 2:10 PM;ccrnyc2msw;Tested on stage at http://content.radioedit.ihrint.com/content/5c1ce8d76e37ceac11d26236.

This looks good to me. ",,,,,,,,,,,,,,,,,,,,,
Custom Talk Tool Isn't Purging MediaServer /catalog/podcast/ URLs,AR-5104,656955,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,gvilches,ccrnyc2msw,ccrnyc2msw,21/Dec/18 9:17 AM,13/Feb/19 9:29 AM,03/May/19 9:49 AM,05/Feb/19 3:02 PM,,2019.2.5,,Custom Talk,,,,0,AR_Kanban,,,"gav [9:06 AM]
{quote}Custom Talk sends `purgey` requests for the surrogate keys `catalog/show/###` and `v2/catalog/show/###` .  But not for `catalog/podcast/###` , which was added after this feature was added to Talk.
And mediaserver doesn’t add `catalog/show/###` to `catalog/podcast/###` requests, rightly so.
I’ll prepare a change to Custom Talk to include these surrogate keys as well.{quote}",,ccrnyc2msw,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/Feb/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzzzqn:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/Feb/19 3:02 PM;ccrnyc2msw;Live in prod.,,,,,,,,,,,,,,,,,,,,,
Blank Cume Results in Schema Validation Error,AR-5103,656901,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,ccrnyc2msw,ccrnyc2msw,20/Dec/18 9:29 AM,02/Jan/19 11:15 AM,03/May/19 9:49 AM,02/Jan/19 9:57 AM,,,,Streams,,,,0,,,,"In the Streams tool, there seems to be an error in the tool where if you try to update a station that has no data for the cume, it's throwing a schema error and preventing save.

 !image-2018-12-20-09-30-19-409.png|thumbnail! 

Cume should be optional - (returning a null value in the API if none specified)... or if a value is provided, it should be a number.

This was last worked on in AR-5059, but something isn't working right anymore.",,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-5059,,,,,,,,,,,,,20/Dec/18 9:30 AM;ccrnyc2msw;image-2018-12-20-09-30-19-409.png;https://jira.ihrint.com/secure/attachment/176874/image-2018-12-20-09-30-19-409.png,,,,,,,,,,,"# Stream edit screen should accept either a number or blank value for the cume
# Blank values should be returned in the API as null; numbers should be returned as a number",,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-4469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzydn:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,"https://stream-manager.radioedit.iheart.com/#/stream/edit/1829

Blank the cume value.  Attempt to save.

Check console and see schema errors as shown in the screenshot.",,,,,,,,,,,,,,,,,,,,,02/Jan/19 9:57 AM;ccrnyc2msw;Fixed and deployed before the christmas holiday break.,,,,,,,,,,,,,,,,,,,,,
"Can't select path var in ""Add more"" section of collection block and ""Add more"" section using separate ""query"" field",AR-5102,656870,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,amamut,amamut,19/Dec/18 3:12 PM,25/Jan/19 9:34 AM,03/May/19 9:49 AM,09/Jan/19 2:00 PM,,2019.1.22,,Site Manager,,,,0,,,,"Coast currently needs this functionality to exist for content filtering. Coast has article types (Show, Guest, etc..) and categories (UFOs, Ancient Medicine, etc...). We need to be to filter down articles which are tagged with ""Show"" and ""UFOs"".

We were told the way to do this is to add a custom query in the Advanced area of the collection block, but the block currently doesn't allow for the path var to be selected.
Also when we clear the tags from topic selection box and use the ""Add More"" box, it places the query in ""query"" field instead of using ""@query"". FiRE doesn't seem to look at query so it is never retrieves any articles.

This is currently blocking the Coast migration to FiRE",,amamut,ccrnyc2msw,,,,,,,,,,,,,,,PN-2954,,,,,,,,,,,,,,,,,,,,,,,,,,19/Dec/18 3:38 PM;amamut;image.png;https://jira.ihrint.com/secure/attachment/176852/image.png,,,,,,,,,,,"Be able to select the path var and have the ""Path Var Namespace"" applied to the path var.",,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzzze7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_01_Apollo,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"09/Jan/19 11:23 AM;ccrnyc2msw;[~mbrown] or [~amamut], what are the implications of this on a local user who has access to Site Manager?  If they accidentally set a value here on a station site (because the fields are unlocked and not labeled in a way that local users would understand, eg help text), what impact would it have on their user-facing website?","09/Jan/19 2:00 PM;ccrnyc2msw;Discussed with Trey a bit.  This is another thing that we'll want to make sure local users don't touch in Site Manager.

As part of the redesign, I expect that we'll lockout ""basic"" users from the pages screen since everything can be customized in the other sections of site manager.  ""Advanced"" users who Tony/Paul/etc believe are trustworthy would have that access (to be able to re-organize their homepage) on a case by case basis.  

[~ccrbdl1mje] ^^ FYI",,,,,,,,,,,,,,,,,,,,
mtime check/return value for Site Manager,AR-5100,656808,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1120341,1109751,1109751,18/Dec/18 1:18 PM,25/Jan/19 9:36 AM,03/May/19 9:49 AM,09/Jan/19 8:06 AM,,2019.1.22,,Site Manager,,,,0,,,,As a local station website admin I want to change my site's design settings and have those changes take effect much more quickly than 24 hours.,,1109751,ccrnyc2msw,tlong,,,,,,,,,,,,,,AL-4873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Site Manager returns an mtime,,,,,,,,No,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz75o3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_01_Apollo,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,02/Jan/19 3:10 PM;tlong;Talk to [~mbrown] if you need clarification.,"09/Jan/19 8:06 AM;ccrnyc2msw;Tested on stage.  Confirmed that an mtime is returned in the api:

http://site-manager.radioedit.ihrint.com/api/v1/config2?slug=wmtx-fm

{code:java}
mtime: 1544538592294,
{code}

This time seems to correspond to the last time a change was made in Site Manager for this brand.

Looks good to me.",,,,,,,,,,,,,,,,,,,,
Convert DataLoaders to using webapi,AR-5099,656780,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1119767,1119767,18/Dec/18 8:10 AM,19/Dec/18 11:50 AM,03/May/19 9:49 AM,19/Dec/18 11:50 AM,,,,,,,,0,,,,,,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AL-4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzyzb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_26_Ziggy,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add partialFilterExpression param to bucket_add_index, and flesh out the params schema a little better",AR-5098,656767,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,mbrown,mbrown,17/Dec/18 5:28 PM,25/Jan/19 9:31 AM,03/May/19 9:49 AM,09/Jan/19 2:01 PM,,2019.1.15,,ObjectDb,,,,0,,,,,,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|i000ri:i,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_01_Apollo,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"09/Jan/19 2:01 PM;ccrnyc2msw;No product review here.  This passed engineering review, so closing as complete.  ",,,,,,,,,,,,,,,,,,,,,
Push New Item Format to Pubsub for Coast to Coast,AR-5097,656748,,Story,Submitted,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,,1112062,1112062,17/Dec/18 1:45 PM,04/Feb/19 11:13 AM,03/May/19 9:49 AM,,,,,PubSub,,,,0,,,,"Coast wants to ingest linked content to the new Content Tool. e.g. a Show page can be linked to multiple Guest pages. Currently the new tool doesn't allow via Publish API.

This is blocking the Coast/FiRE migration in a way where fake data is being used as placeholders which is the best to weed out any unknown issues.",,1112062,ccrnyc2msw,,,,,,,,,,,,,,,PN-3184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Publish API needs to be to accept linked content for content ingestion to RadioEdit,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz75wz:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,08/Jan/19 10:40 AM;ccrnyc2msw;Groomed today.  Estimate revised from a 3 to a 1.  Updated ticket title to reflect discussed approach.,08/Jan/19 10:40 AM;ccrnyc2msw;Blocked on PubSub V2.,,,,,,,,,,,,,,,,,,,,
Add linked Content to PubSub,AR-5096,656747,,Story,Submitted,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,,1112062,1112062,17/Dec/18 1:42 PM,04/Feb/19 11:13 AM,03/May/19 9:49 AM,,,,,PubSub,,,,0,,,,"Currently, the New Content tool is not sending linked content to PubSub. This is blocking Coast's FiRE templates needs to render linked data to fulfill intended user experience e.g. User lands on a show page and wants to click on a Guest link to read up on the Guest's bio..

Here's are examples of linked content
http://content.radioedit.ihrint.com/content/5c1281e630e23c6359533873 (show that has a link to a guest)

https://content.radioedit.ihrint.com/content/5c12b8e4bb0da590dcf84d20 (guest that has a link to a show)

It's also worth noting that is blocking the Coast/FiRE migration.",,1112062,ccrnyc2msw,,,,,,,,,,,,,,,PN-3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"# able to send linked content to PubSub
# able retrieve linked content from PubSub",,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz75wb:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,08/Jan/19 10:37 AM;ccrnyc2msw;Groomed today.  This is blocked by the PubSub V2 work.,,,,,,,,,,,,,,,,,,,,,
Typing in any field causes asset blocks to reload their asset,AR-5095,656704,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,mbrown,mbrown,14/Dec/18 2:44 PM,01/Feb/19 3:03 PM,03/May/19 9:49 AM,09/Jan/19 12:12 PM,,2019.1.29 - Content,,Content Tool,,,,0,,,,,,1119767,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,29/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|i000s4:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_01_Apollo,,,,,,,,,,,"1. create new item
2. choose an asset for primary image (or a new asset block)
3. Type in any field (title, summary, etc)
4. Observe request spam in network tab. (get_object rpc calls)
",2.0,,,,,,,,,,,,,,,,,,,,"03/Jan/19 12:27 PM;1119767;loadAsset is not being called on form changes, so it doesn't appear to be the asset block itself. I commented out asset renderer, and it still happens, so it's likely not that either. The summary panel is not loading asset data, so it's not there either.",03/Jan/19 12:28 PM;1119767;The issue appears to be in block-image-list.,"03/Jan/19 1:05 PM;1119767;The block image list, which allows you to select an asset from somewhere else on the page, is refetching all assets every time there’s a form change. I need to dedup these calls somehow.","04/Jan/19 1:57 PM;ccrnyc2msw;Checked on stage.  Confirmed that typing in a text field does not cause asset blocks to blank - however, because stage mediaserver is currently using production data, am unable to verify that assets are now selecting/inserting correctly.  Tabling this until MediaServer changes are verified and we can switch back.","09/Jan/19 12:12 PM;ccrnyc2msw;Chatted with [~1119767] on Slack, he recommended testing this on Dev instead.

Confirmed that I can successfully add an image to an asset and gallery block and that it correctly appears.  Same with the primary image block.

This looks good to me.",,,,,,,,,,,,,,,,,
